update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
1,5120,925.4299255,5,0,0,0,0,0,0,0,0,1.926623195,0.162879255,0.018083447,0.005289487,0.043326449,0,0,0,0,0,0,-0.3,0,5,1,0,0,0,0,0,0,0,0,0,0
2,10240,978.5455381,10,0,0,0,0,0,0,0,0,1.931314534,0.142597224,0.020091111,0.000970511,0.027068738,0,0,0,0,0,0,-0.3,0,5,1,0,0,0,0,0,0,0,0,0,0
3,15360,975.7382808,16,0,0,0,0,0,0,0,0,1.926087022,0.115047731,0.017648118,0.000434078,0.018148098,0,0,0,0,0,0,-0.3,0,5,1,0,0,0,0,0,0,0,0,0,0
4,20480,979.7427119,21,0,0,0,0,0,0,0,0,1.918179321,0.104184609,0.015618181,0.000427978,0.01374962,0,0,0,0,0,0,-0.3,0,5,1,0,0,0,0,0,0,0,0,0,0
5,25600,975.6481581,26,0.080507812,0.318002616,0,1.884687424,320,320,0,640,1.923897827,0.077923442,0.029048726,0.000352249,0.016985152,0,0,0,0,-0.106250007,0.183037168,-0.256250007,0.155330624,5,1.1125,4.375,0,0,0,0,0,-0.07125001,0.290772128,-0.300000012,1.099999905
6,30720,980.7818044,31,0.080507812,0.318002616,0,1.884687424,320,320,0,640,1.921019369,0.086634062,-0.002692105,0.005768902,0.043727536,0,0,0,0,-0.106250007,0.183037168,-0.256250007,0.155330624,5,1.1125,4.375,0,0,0,0,0,-0.07125001,0.290772128,-0.300000012,1.099999905
7,35840,980.9221625,36,0.080507812,0.318002616,0,1.884687424,320,320,0,640,1.933967507,0.08638729,0.012493327,0.000379422,0.009968772,0,0,0,0,-0.106250007,0.183037168,-0.256250007,0.155330624,5,1.1125,4.375,0,0,0,0,0,-0.07125001,0.290772128,-0.300000012,1.099999905
8,40960,978.2098055,42,0.080507812,0.318002616,0,1.884687424,320,320,0,640,1.930796301,0.076713159,0.008136516,0.001405097,0.021187728,0,0,0,0,-0.106250007,0.183037168,-0.256250007,0.155330624,5,1.1125,4.375,0,0,0,0,0,-0.07125001,0.290772128,-0.300000012,1.099999905
9,46080,979.9360269,47,0.080507812,0.318002616,0,1.884687424,320,320,0,640,1.925820786,0.077589215,0.011012892,0.000310763,0.013024423,0,0,0,0,-0.106250007,0.183037168,-0.256250007,0.155330624,5,1.1125,4.375,0,0,0,0,0,-0.07125001,0.290772128,-0.300000012,1.099999905
10,51200,969.8456098,52,0.146295571,0.379864268,0,1.884687424,426.025,301.3261373,0,640,1.909551764,0.060652677,0.015846355,0.001630077,0.017166961,0.001735677,0.018934002,0,0.208281249,-0.113819887,0.237050024,-0.226388898,0.190996206,5,1.2,8.055555556,0,0,0,0,0,-0.064097669,0.360750622,-0.600000024,1.208281279
11,56320,979.4794183,57,0.146295571,0.379864268,0,1.884687424,426.025,301.3261373,0,640,1.915584111,0.053982822,0.001548413,0.002264472,0.026068487,0.001735677,0.018934002,0,0.208281249,-0.113819887,0.237050024,-0.226388898,0.190996206,5,1.2,8.055555556,0,0,0,0,0,-0.064097669,0.360750622,-0.600000024,1.208281279
12,61440,979.9157709,63,0.146295571,0.379864268,0,1.884687424,426.025,301.3261373,0,640,1.899693286,0.038733861,0.004330531,0.00064351,0.010370299,0.001735677,0.018934002,0,0.208281249,-0.113819887,0.237050024,-0.226388898,0.190996206,5,1.2,8.055555556,0,0,0,0,0,-0.064097669,0.360750622,-0.600000024,1.208281279
13,66560,978.9716421,68,0.146295571,0.379864268,0,1.884687424,426.025,301.3261373,0,640,1.907266015,0.030898269,0.00457307,2.12E-05,0.003523935,0.001735677,0.018934002,0,0.208281249,-0.113819887,0.237050024,-0.226388898,0.190996206,5,1.2,8.055555556,0,0,0,0,0,-0.064097669,0.360750622,-0.600000024,1.208281279
14,71680,977.8230538,73,0.146295571,0.379864268,0,1.884687424,426.025,301.3261373,0,640,1.913400906,0.026743975,0.005159806,1.23E-05,0.002154471,0.001735677,0.018934002,0,0.208281249,-0.113819887,0.237050024,-0.226388898,0.190996206,5,1.2,8.055555556,0,0,0,0,0,-0.064097669,0.360750622,-0.600000024,1.208281279
15,76800,972.2706516,78,0.146124999,0.372954894,0,1.884687424,479.3,276.8007812,0,640,1.909886044,0.02624441,-0.000544116,0.002560315,0.016045942,0.002859375,0.021483819,0,0.208281249,-0.133182301,0.265282059,-0.235416676,0.178717942,5,1.175,7.291666667,0,0,0,0,0,-0.094015637,0.36336901,-0.600000024,1.208281279
16,81920,971.1781297,84,0.146124999,0.372954894,0,1.884687424,479.3,276.8007812,0,640,1.915229023,0.0194474,-0.000854841,0.00134728,0.018409132,0.002859375,0.021483819,0,0.208281249,-0.133182301,0.265282059,-0.235416676,0.178717942,5,1.175,7.291666667,4.142518997,0.044319358,0.041890353,0.202839375,0.657342243,-0.094015637,0.36336901,-0.600000024,1.208281279
17,87040,979.0339918,89,0.146124999,0.372954894,0,1.884687424,479.3,276.8007812,0,640,1.919999349,0.019979644,-0.000299314,0.001069616,0.013074229,0.002859375,0.021483819,0,0.208281249,-0.133182301,0.265282059,-0.235416676,0.178717942,5,1.175,7.291666667,0,0,0,0,0,-0.094015637,0.36336901,-0.600000024,1.208281279
18,92160,974.0877743,94,0.146124999,0.372954894,0,1.884687424,479.3,276.8007812,0,640,1.921674538,0.0237187,-0.000245431,0.000371211,0.008694706,0.002859375,0.021483819,0,0.208281249,-0.133182301,0.265282059,-0.235416676,0.178717942,5,1.175,7.291666667,0,0,0,0,0,-0.094015637,0.36336901,-0.600000024,1.208281279
