update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
1,5120,729.8621588,7,0,0,0,0,0,0,0,0,1.926623183,0.162879257,0.018083447,0.005289487,0.043326457,0,0,0,0,0,0,-0.3,0,5,1,0,4.157883525,-0.010355085,-0.019145566,0.023147081,0.021141201,0,0,0,0
2,10240,754.1288025,13,0,0,0,0,0,0,0,0,1.904121947,0.142167929,0.019877725,0.001244448,0.022810896,0,0,0,0,0,0,-0.3,0,5,1,0,4.157858729,-0.00294274,-0.03106538,0.029553485,0.023912662,0,0,0,0
3,15360,747.3333648,20,0,0,0,0,0,0,0,0,1.910921997,0.126257038,0.020038924,0.000318797,0.010241712,0,0,0,0,0,0,-0.3,0,5,1,0,4.158403587,-0.008299693,-0.021488451,0.023004676,0.022611569,0,0,0,0
4,20480,732.3681737,27,0,0,0,0,0,0,0,0,1.911626732,0.110583605,0.015579669,0.000523787,0.015305367,0,0,0,0,0,0,-0.3,0,5,1,0,4.157209039,0.00578955,-0.036867914,0.034891518,0.022829914,0,0,0,0
5,25600,717.7228144,34,0.102701171,0.348466532,0,1.884687424,318.6875,318.8982437,0,640,1.907783425,0.090540386,0.028177052,0.001648536,0.020259069,0.003095703,0.027515212,0,0.247656256,-0.077827156,0.219576561,-0.237500007,0.177511732,5,1.15,6.25,4.149281406,-0.212915672,0.164294643,0.0608519,0.02753505,-0.025654308,0.370147142,-0.300000012,1.947656155
6,30720,760.9259606,41,0.102701171,0.348466532,0,1.884687424,318.6875,318.8982437,0,640,1.901716006,0.079323108,0.007538215,0.004204385,0.029991732,0.003095703,0.027515212,0,0.247656256,-0.077827156,0.219576561,-0.237500007,0.177511732,5,1.15,6.25,4.156882143,-0.181960329,-0.02487953,0.019891434,0.01303815,-0.025654308,0.370147142,-0.300000012,1.947656155
7,35840,752.7602581,48,0.102701171,0.348466532,0,1.884687424,318.6875,318.8982437,0,640,1.872723269,0.079611198,0.011118632,0.000526998,0.016031717,0.003095703,0.027515212,0,0.247656256,-0.077827156,0.219576561,-0.237500007,0.177511732,5,1.15,6.25,4.157224298,-0.18589294,-0.020439516,0.016287897,0.011513435,-0.025654308,0.370147142,-0.300000012,1.947656155
8,40960,735.9388593,55,0.102701171,0.348466532,0,1.884687424,318.6875,318.8982437,0,640,1.870401704,0.072516996,0.008827279,0.000953277,0.012567933,0.003095703,0.027515212,0,0.247656256,-0.077827156,0.219576561,-0.237500007,0.177511732,5,1.15,6.25,4.157466459,-0.192548433,-0.011096061,0.009636652,0.008779487,-0.025654308,0.370147142,-0.300000012,1.947656155
9,46080,711.4865341,62,0.102701171,0.348466532,0,1.884687424,318.6875,318.8982437,0,640,1.848897403,0.062550373,0.005702467,0.000739715,0.020897966,0.003095703,0.027515212,0,0.247656256,-0.077827156,0.219576561,-0.237500007,0.177511732,5,1.15,6.25,4.156570649,-0.170704689,-0.040074074,0.030628752,0.016031923,-0.025654308,0.370147142,-0.300000012,1.947656155
10,51200,705.5885463,69,0.138515625,0.418662776,0,2.987343788,425.7916667,301.2308056,0,640,1.843855149,0.052346954,0.018312162,0.000272996,0.013105671,0.002063802,0.022513423,0,0.247656256,-0.117162552,0.223399335,-0.22361112,0.189902302,5,1.208333333,8.680555556,4.14967711,-0.294561176,0.071117353,0.003245013,0.010491225,-0.074602878,0.378324082,-1.200000048,1.947656155
11,56320,761.8806743,76,0.138515625,0.418662776,0,2.987343788,425.7916667,301.2308056,0,640,1.843872207,0.052156939,-0.001091842,0.003367482,0.029975887,0.002063802,0.022513423,0,0.247656256,-0.117162552,0.223399335,-0.22361112,0.189902302,5,1.208333333,8.680555556,4.155930257,-0.252039714,-0.051199984,0.041047968,0.022128373,-0.074602878,0.378324082,-1.200000048,1.947656155
12,61440,742.4661321,83,0.138515625,0.418662776,0,2.987343788,425.7916667,301.2308056,0,640,1.837837696,0.052496806,-0.000242617,0.002079952,0.042793378,0.002063802,0.022513423,0,0.247656256,-0.117162552,0.223399335,-0.22361112,0.189902302,5,1.208333333,8.680555556,4.15550127,-0.254106668,-0.046013315,0.03738825,0.017667264,-0.074602878,0.378324082,-1.200000048,1.947656155
13,66560,725.8503517,90,0.138515625,0.418662776,0,2.987343788,425.7916667,301.2308056,0,640,1.83992933,0.049949648,0.004156046,0.001012537,0.015207299,0.002063802,0.022513423,0,0.247656256,-0.117162552,0.223399335,-0.22361112,0.189902302,5,1.208333333,8.680555556,4.155816531,-0.275259104,-0.013868765,0.012057129,0.007854154,-0.074602878,0.378324082,-1.200000048,1.947656155
