update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_return_mean,difficulty,distinct goals eps len,goal_count,dis_goals,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm
1,5120,484.1664633,10,0,0,0,0,0,0,0,0,1.91305331,0.135068635,0.02315912,0.001265863,0.020406647,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
2,10240,400.3916369,23,0,0,0,0,0,0,0,0,1.904430789,0.120280043,0.018492257,0.000160637,0.009205542,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
3,15360,337.16728,38,0,0,0,0,0,0,0,0,1.907852662,0.104839233,0.017750769,4.89E-05,0.006749445,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
4,20480,296.0175213,55,0,0,0,0,0,0,0,0,1.918707478,0.09141859,0.015150555,1.93E-05,0.005279138,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
5,25600,228.9191004,78,0.014684205,0.015145952,0,0.050581407,320,320,0,640,1.916479832,0.067798746,0.024874421,0.000303043,0.019984777,0,0,0,0,0.000399062,5,10,320.5,32,4.2734375,4.153149939,-0.0265406,-0.021470433,0.00114155,0.02854089
6,30720,545.3399875,87,0.014684205,0.015145952,0,0.050581407,320,320,0,640,1.91539802,0.061348409,0.010045089,9.07E-06,0.003612547,0,0,0,0,0.000399062,5,10,320.5,32,4.2734375,0,0,0,0,0
7,35840,484.6326167,98,0.014684205,0.015145952,0,0.050581407,320,320,0,640,1.924438417,0.052221272,0.008544653,5.52E-06,0.002790714,0,0,0,0,0.000399062,5,10,320.5,32,4.2734375,0,0,0,0,0
8,40960,408.4451636,110,0.014684205,0.015145952,0,0.050581407,320,320,0,640,1.914648139,0.045224065,0.00740416,4.20E-06,0.002073007,0,0,0,0,0.000399062,5,10,320.5,32,4.2734375,0,0,0,0,0
9,46080,332.6833111,126,0.032517641,0.160215738,0,1.459192514,320.9506173,318.1321994,0,640,1.905028534,0.041148163,0.00371341,0.002388886,0.02232413,0.005453318,0.048775959,0,0.441718757,0.000721966,5,10.09347232,321.4444444,32.39506173,4.301532326,4.149836493,-0.015530562,-0.019499493,0.001126688,0.02893959
10,51200,239.227394,147,0.036177657,0.167578178,0,1.459192514,424.4083333,300.9188843,0,640,1.907129997,0.044581618,0.010734017,0.001247817,0.015989171,0.004842448,0.042004656,0,0.441718757,0.000489417,5,10.05321133,424.7416667,42.66666667,4.368752525,4.145078683,-0.025904612,-0.022816728,0.001369658,0.044379899
