update,frames,FPS,duration,,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
1,5120,181.5774833,28,,0.02291358,0.204945286,0,1.855999947,49.58024691,49.83203001,0,100,1.927191216,0.099600063,0.028754059,0.00587387,0.040798882,,0.010567901,0.094522183,0,0.856000006,-0.125234574,0.266998786,-0.300000006,5.96E-09,5,1,0,0,0,0,0,0,-0.125234574,0.266998786,-0.300000012,1.855999947
2,10240,186.8812024,55,,0.04446281,0.248315981,0,1.855999947,65.87603306,47.00897932,0,100,1.934948355,0.082530116,0.017401785,0.0042072,0.058078258,,0.01207438,0.087005669,0,0.856000006,-0.152388438,0.301726696,-0.295867777,0.045266327,5,1.008264463,0.41322314,0,0,0,0,0,-0.150735545,0.304190345,-0.300000012,1.855999947
3,15360,177.1324284,84,,0.04490184,0.239807008,0,1.855999947,74.49693252,43.11895008,0,100,1.932838327,0.062225942,0.014106041,0.002623506,0.028909337,,0.0111227,0.079775281,0,0.856000006,-0.174153383,0.296190758,-0.290797555,0.067205221,5,1.018404908,0.920245399,0,0,0,0,0,-0.170472402,0.302003502,-0.300000012,1.855999947
4,20480,165.7194079,115,,0.051772727,0.263600047,0,1.94599998,82.10743802,37.8489389,0,100,1.916277373,0.053894066,0.008020051,0.009414603,0.062691968,,0.014752066,0.102801363,0,0.94599998,-0.188966952,0.317523292,-0.2855372,0.083798759,5,1.02892562,1.446280992,5.881899357,-0.243274003,0.317624271,0.184496179,0.475462033,-0.183181828,0.326259163,-0.300000012,1.94599998
5,25600,172.362953,145,,0.064711268,0.295426884,0,1.94599998,84.17253521,35.73141917,0,100,1.917587388,0.0424029,-0.007176977,0.010427872,0.074082879,,0.018855634,0.112786804,0,0.94599998,-0.181848601,0.349708768,-0.28415494,0.087586922,5,1.031690141,1.584507042,0,0,0,0,0,-0.175510574,0.358279208,-0.300000012,1.94599998
6,30720,174.2251746,174,,0.10095783,0.387421932,0,2.513999939,85.26204819,34.04922915,0,100,1.879081744,0.068072904,-0.020073608,0.020031805,0.075416968,,0.029629518,0.135707776,0,0.94599998,-0.152790673,0.418719425,-0.283433745,0.089491292,5,1.03313253,1.656626506,5.886616707,-0.000490968,0.147976637,0.315173179,0.381912464,-0.140551216,0.453131793,-0.300000012,2.312999964
7,35840,184.7606316,202,,0.098656836,0.380041916,0,2.513999939,86.69705094,32.52504775,0,100,1.845129079,0.055364323,0.005841031,0.005073992,0.053179389,,0.028573726,0.132368597,0,0.94599998,-0.158459796,0.414642098,-0.28391422,0.088227789,5,1.032171582,1.608579088,0,0,0,0,0,-0.147029501,0.446374874,-0.300000012,2.312999964
8,40960,172.4787937,232,,0.108725663,0.402314325,0,2.513999939,88.23230088,30.55520929,0,100,1.823539633,0.053261696,-0.016116739,0.016673732,0.123179695,,0.032015486,0.141285288,0,0.94599998,-0.156243373,0.431215498,-0.283407091,0.08956079,5,1.033185841,1.659292035,0,0,0,0,0,-0.143427002,0.467387962,-0.300000012,2.312999964
9,46080,163.0976749,263,,0.106376518,0.396675156,0,2.513999939,89.05465587,29.6112301,0,100,1.796515185,0.057642916,0.011926508,0.004926806,0.045708905,,0.03109919,0.140874912,0,0.94599998,-0.163016205,0.424869937,-0.283805679,0.088515025,5,1.034412955,1.720647773,5.885155678,-0.277686805,0.067662314,0.24438411,0.753300016,-0.151491914,0.459516499,-0.600000024,2.312999964
10,51200,171.3317211,293,,0.121316081,0.42618612,0,2.513999939,89.04251386,29.57430637,0,100,1.780344713,0.048620541,-0.001686585,0.010676751,0.071662382,,0.038173752,0.162017384,0,0.954999983,-0.149798532,0.461228489,-0.284288366,0.087229391,5,1.035120148,1.756007394,0,0,0,0,0,-0.13946027,0.491031994,-0.600000024,2.312999964
11,56320,171.3003326,323,,0.11862197,0.421416539,0,2.513999939,90.01130856,28.20983344,0,100,1.751110065,0.042630326,-0.007719445,0.010168416,0.07167252,,0.037878836,0.160392147,0,0.963999987,-0.153709219,0.461061791,-0.286268186,0.081715052,5,1.030694669,1.534733441,0,0,0,0,0,-0.144673678,0.487303677,-0.600000024,2.312999964
12,61440,164.4741022,354,,0.118240181,0.419283897,0,2.513999939,90.45015106,27.59558655,0,100,1.6957618,0.02899012,-0.007358664,0.011230753,0.082649975,,0.037610272,0.160095879,0,0.963999987,-0.155581582,0.459492167,-0.285649558,0.08348228,5,1.031722054,1.586102719,5.88539505,-0.066326842,-0.053940445,0.314087421,0.471081068,-0.146528712,0.484747359,-0.600000024,2.312999964
