update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_reward_mean,teach_reward_mean_std,teach_intrinr_mean,teach_intrinr_std,difficulty,goal_count,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm,teacher_return_mean,teacher_return_std,teacher_return_min,teacher_return_max
1,5120,586.0967054,8,0.058641975,0.2791404,0,1.855999947,49.07407407,49.52459865,0,100,1.92475124,-0.017310012,-0.022395885,0.009241301,0.038091733,0.016358025,0.107210572,0,0.856000006,-0.07870371,0.33168036,-0.275308648,0.13382397,5,1.024691358,2.469135802,5.863400555,-0.433839525,-0.419920874,0.140899321,0.283000304,-0.073765439,0.337235464,-0.300000012,1.855999947
2,10240,601.6332746,17,0.076901639,0.328050033,0,1.855999947,64.97540984,46.84495933,0,100,1.911641502,0.005215952,-0.014396667,0.009723194,0.039529663,0.024237705,0.124062125,0,0.856000006,-0.107729517,0.391272975,-0.283606565,0.109664656,5,1.016393443,1.639344262,5.870094275,-0.424197073,-0.281530503,0.088634053,0.085892258,-0.104450828,0.394661155,-0.300000012,1.855999947
3,15360,599.3571293,25,0.081215568,0.341773376,0,1.94599998,73.51497006,43.23807596,0,100,1.896438563,0.017402173,-0.005407171,0.006899991,0.036420732,0.026988024,0.135971112,0,0.94599998,-0.13169462,0.404886288,-0.285029949,0.101266673,5,1.017964072,1.497005988,5.873691869,-0.365023577,-0.089574966,0.042666299,0.080214605,-0.128101806,0.408683245,-0.300000012,1.94599998
4,20480,598.1454892,34,0.077906122,0.342486517,0,1.94599998,81.0122449,38.25910393,0,100,1.92815187,0.022414458,-0.007897996,0.010176884,0.043154406,0.028032653,0.14119293,0,0.94599998,-0.157681643,0.406433746,-0.287755112,0.089517192,5,1.016326531,1.224489796,5.873723841,-0.280392118,-0.147113737,0.059508358,0.077403005,-0.154416337,0.410081295,-0.300000012,1.94599998
5,25600,596.3070246,42,0.098100345,0.377645013,0,1.94599998,82.94117647,36.23844524,0,100,1.925624609,0.044382902,-0.018687907,0.015763695,0.05776162,0.034152249,0.151581047,0,0.94599998,-0.143010391,0.443978408,-0.28615918,0.091972552,5,1.020761246,1.384083045,5.875626326,-0.251150648,-0.165283043,0.122606215,0.131605306,-0.138858142,0.448083211,-0.300000012,1.94599998
6,30720,590.2751891,51,0.111555223,0.402640998,0,1.94599998,84.38208955,34.73752724,0,100,1.91586827,0.057430618,-0.008560722,0.012047764,0.058619448,0.039068657,0.162707551,0,0.94599998,-0.134065682,0.471057492,-0.286567175,0.089601976,5,1.020895522,1.343283582,5.876584268,-0.225062016,-0.081266502,0.090657428,0.092179371,-0.129886578,0.474874412,-0.300000012,1.94599998
7,35840,598.4486277,60,0.11366313,0.400774885,0,1.94599998,85.80106101,33.29325051,0,100,1.887021798,0.057781378,0.008498688,0.005232696,0.031361303,0.038135278,0.160504328,0,0.94599998,-0.136931045,0.466789983,-0.282758631,0.098232807,5,1.029177719,1.724137931,5.877984452,-0.208042966,-0.00978944,0.047110087,0.078764926,-0.131095501,0.472184598,-0.300000012,1.94599998
8,40960,596.3145586,68,0.104083885,0.382240434,0,1.94599998,87.98454746,31.04468373,0,100,1.838138312,0.053555656,0.010590306,0.005194842,0.049890109,0.033746137,0.152771538,0,0.94599998,-0.157203101,0.441544565,-0.283443719,0.09543473,5,1.033112583,1.876379691,5.87799077,-0.243554338,0.046293353,0.032157039,0.056676489,-0.15278809,0.448292292,-0.600000024,1.94599998
9,46080,590.9060173,77,0.104587045,0.381360832,0,1.94599998,88.80566802,29.98425174,0,100,1.876057035,0.04152673,-0.003217062,0.007178684,0.046843494,0.032935223,0.149609626,0,0.94599998,-0.159439956,0.438366267,-0.282456151,0.098494719,5,1.036437247,1.956815115,5.877187681,-0.239124557,-0.007070636,0.062234956,0.068075229,-0.153502035,0.447989255,-0.600000024,1.94599998
10,51200,596.6913533,86,0.105868275,0.38406362,0,1.954999924,89.432282,29.21071417,0,100,1.891600215,0.032766903,0.001455401,0.005941468,0.032990178,0.033328386,0.151996685,0,0.954999983,-0.161353134,0.439410332,-0.282065565,0.098890675,5,1.037105751,1.978973408,5.879785776,-0.262731854,-0.003368667,0.028484366,0.048961003,-0.155168842,0.448997078,-0.600000024,1.954999924
11,56320,591.4550735,94,0.103995122,0.38211821,0,2.180999994,90.5804878,27.69367178,0,100,1.87052629,0.033829951,-0.002534436,0.006661774,0.053664334,0.031117073,0.146264864,0,0.954999983,-0.170643642,0.425845867,-0.283468846,0.094794408,5,1.037398374,1.978319783,5.878417492,-0.269863835,-0.013767392,0.053827404,0.053544513,-0.164655296,0.436716402,-0.600000024,1.954999924
12,61440,594.6151321,103,0.11140303,0.39571685,0,2.180999994,90.73636364,27.41891979,0,100,1.777173012,0.036974408,-0.011143379,0.014322915,0.071372581,0.033978788,0.154537117,0,0.954999983,-0.164328546,0.441248722,-0.282323244,0.097220582,5,1.039393939,2.070707071,5.880269384,-0.263665815,-0.018754958,0.052855924,0.054555725,-0.157839405,0.451887932,-0.600000024,1.954999924
13,66560,593.8547164,111,0.113413353,0.395306694,0,2.180999994,91.16903409,26.74296012,0,100,1.736579883,0.025598948,-0.002603275,0.004994143,0.040634605,0.033455966,0.152593323,0,0.954999983,-0.165383297,0.438893528,-0.28129736,0.099345821,5,1.042613636,2.225378788,5.881031966,-0.262518106,-0.033208384,0.051054899,0.051340172,-0.158873591,0.450090744,-0.600000024,1.954999924
14,71680,590.0715733,120,0.112158879,0.392625506,0,2.180999994,91.57142857,26.06122576,0,100,1.729990894,0.038729271,-0.011556019,0.008737259,0.07036173,0.033,0.150003738,0,0.954999983,-0.166710069,0.43793042,-0.282421017,0.09641773,5,1.040053405,2.091677793,5.880532169,-0.243466939,-0.083094592,0.087311476,0.079070159,-0.160591466,0.44850617,-0.600000024,1.954999924
15,76800,592.0961817,129,0.113127737,0.391905631,0,2.180999994,92.07664234,25.26906718,0,100,1.60195058,0.036766289,-0.003945016,0.010469565,0.062982578,0.032624087,0.149463081,0,0.954999983,-0.168206621,0.435671282,-0.280940806,0.099547945,5,1.042579075,2.210056772,5.880783677,-0.257910049,-0.022199443,0.066282697,0.048206402,-0.161414853,0.446649202,-0.600000024,1.954999924
16,81920,598.8364409,137,0.125601607,0.416448929,0,2.180999994,91.81171068,25.52532163,0,100,1.579438734,0.040518028,-0.021089921,0.023899407,0.083208693,0.03821814,0.163109306,0,0.963999987,-0.154184665,0.46616094,-0.28143897,0.098171423,5,1.041331803,2.143130501,5.87928741,-0.244629993,-0.056880123,0.115182795,0.072596294,-0.147545362,0.475894354,-0.600000024,1.963999987
17,87040,588.8800792,146,0.122591703,0.409010357,0,2.180999994,92.2139738,24.95327645,0,100,1.599744803,0.024806244,0.004368601,0.001196221,0.022332773,0.036340611,0.159266692,0,0.963999987,-0.159164676,0.456185486,-0.280167406,0.100946136,5,1.045851528,2.365356623,5.879092336,-0.264859466,-0.014046262,0.023524233,0.050510457,-0.152633199,0.466978934,-0.600000024,1.963999987
18,92160,590.4470921,155,0.126426113,0.416904506,0,2.180999994,92.31781377,24.7228403,0,100,1.472503483,0.041458671,-0.019748976,0.019936985,0.074343336,0.03847166,0.164720484,0,0.963999987,-0.155235672,0.466574555,-0.280094478,0.100871551,5,1.045546559,2.344804318,5.878534985,-0.248764888,-0.05303315,0.087756417,0.090720455,-0.148572886,0.476896534,-0.600000024,1.963999987
19,97280,597.9171632,163,0.126500967,0.417304537,0,2.180999994,92.48355899,24.39789882,0,100,1.550773966,0.035521027,-0.003065326,0.008508776,0.059538448,0.038634429,0.164655627,0,0.963999987,-0.155546272,0.467383217,-0.280496465,0.099811829,5,1.044487427,2.288845906,5.878874874,-0.256959054,-0.010308388,0.059744566,0.080011092,-0.148986472,0.477422128,-0.600000024,1.963999987
20,102400,603.2034626,172,0.127956642,0.42033811,0,2.180999994,92.58394834,24.12061024,0,100,1.535365766,0.041588664,-0.012058535,0.013533978,0.071680222,0.039530443,0.16563646,0,0.963999987,-0.153534913,0.472540958,-0.281396075,0.097568526,5,1.042435424,2.183271833,5.878430891,-0.224609168,-0.044244912,0.084402367,0.118058819,-0.147277687,0.481994817,-0.600000024,1.963999987
21,107520,603.3839796,180,0.132464191,0.430042111,0,2.612999916,92.61361627,23.97453243,0,100,1.478566855,0.05211906,-0.015140317,0.013466045,0.075419741,0.040924845,0.167962598,0,0.963999987,-0.149653268,0.478455671,-0.28128501,0.097711706,5,1.043324492,2.225169467,5.876212668,-0.180314603,-0.108281064,0.119319015,0.110271497,-0.14271796,0.489043624,-0.600000024,1.963999987
22,112640,597.1716478,189,0.129655,0.424082916,0,2.612999916,92.94,23.45185991,0,100,1.46638689,0.036618179,0.000107547,0.006425601,0.063781816,0.039623333,0.165326418,0,0.963999987,-0.153413206,0.471903594,-0.280694456,0.098941056,5,1.045,2.305555556,5.875927114,-0.228956906,0.005638415,0.07474365,0.084247323,-0.146460012,0.482852776,-0.600000024,1.963999987
23,117760,598.4840021,197,0.130807074,0.425430052,0,2.612999916,93.04340836,23.19752412,0,100,1.392191422,0.046461945,-0.010731232,0.012333518,0.066050714,0.039940514,0.165011802,0,0.963999987,-0.151654218,0.475123448,-0.281377289,0.097240949,5,1.04340836,2.224008574,5.877137136,-0.215786085,-0.011867236,0.064404473,0.089584062,-0.144946957,0.485596948,-0.600000024,1.963999987
24,122880,593.0577356,206,0.131197216,0.423180459,0,2.612999916,93.25135344,22.8127878,0,100,1.410051858,0.052300682,-0.002812725,0.007874676,0.060557613,0.039160093,0.162657369,0,0.963999987,-0.151979774,0.472556762,-0.280536232,0.099124575,5,1.045630317,2.333075535,5.877739835,-0.222436024,-0.043272737,0.081653196,0.102444575,-0.145139996,0.48341387,-0.600000024,1.963999987
25,128000,590.2298118,215,0.133005143,0.42441307,0,2.612999916,93.41954445,22.51891914,0,100,1.291569853,0.055178008,-0.002465792,0.012318086,0.068276278,0.039091844,0.162588488,0,0.963999987,-0.151241622,0.473352579,-0.280039198,0.100154824,5,1.047024247,2.400195934,5.879029417,-0.242419919,-0.024158118,0.0887251,0.080183611,-0.144376205,0.484327448,-0.600000024,1.963999987
26,133120,591.7883371,223,0.134427758,0.425239379,0,2.612999916,93.50391459,22.34926939,0,100,1.383629405,0.060671809,-0.005465301,0.008964973,0.07449713,0.039247687,0.162741805,0,0.963999987,-0.149395622,0.475235985,-0.279240818,0.101899986,5,1.048398577,2.46737841,5.878811073,-0.213269666,-0.087294279,0.099671029,0.088733621,-0.142175812,0.486324222,-0.600000024,1.963999987
27,138240,590.1894211,232,0.139582018,0.43778179,0,2.927999973,93.4646534,22.33049366,0,100,1.33884607,0.077798898,-0.006475031,0.014045045,0.075472578,0.04076733,0.165645895,0,0.963999987,-0.145996122,0.480066482,-0.278952196,0.102471109,5,1.050102951,2.550903683,5.878527188,-0.207804205,-0.067847829,0.076858665,0.077418368,-0.137612915,0.49554129,-0.600000024,2.312999964
28,143360,597.2356547,241,0.142986719,0.442910567,0,2.927999973,93.43625498,22.28373087,0,100,1.349528348,0.079526008,0.000202502,0.008959716,0.079913093,0.042075033,0.167784454,0,0.963999987,-0.142330246,0.487363634,-0.279637019,0.100859452,5,1.049136786,2.501106684,5.878177643,-0.198008597,-0.06367721,0.081469903,0.098391356,-0.134419002,0.502193147,-0.600000024,2.312999964
29,148480,588.4006425,249,0.145751111,0.447409996,0,2.927999973,93.42539683,22.28859747,0,100,1.407520831,0.083770116,-0.002421776,0.006891922,0.055754655,0.043361905,0.171045319,0,0.963999987,-0.139059905,0.493757639,-0.279259271,0.101627748,5,1.04952381,2.518518519,5.877568221,-0.211609665,-0.07970312,0.074319297,0.094492096,-0.130987313,0.508153119,-0.600000024,2.312999964
