update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max,teach_return_mean,difficulty,distinct goals per episode,goal_count,dis_goals,reached_per_mean,goal_entropy,goal_value,goal_policy_loss,goal_value_loss,goal_grad_norm
1,5120,470.8777487,10,0.041349974,0.259730085,0,1.855999947,49.07407407,49.52459865,0,100,1.930559397,-0.020693593,-0.019125815,0.007816318,0.029588184,0.016358025,0.107210572,0,0.856000006,-0.000432099,5,87.44654089,49.56790123,42.91358025,0.703703704,0,0,0,0,0
2,10240,402.3384648,23,0.069669169,0.339501334,0,1.937000036,64.97580645,46.94136076,0,100,1.893473327,-0.003774414,-0.017903279,0.011044015,0.050977307,0.02892742,0.145258956,0,0.936999977,-0.000573226,5,87.06714659,65.2983871,56.57258065,0.959677419,5.845256758,-0.501710284,-0.202226525,0.01879068,0.162776444
3,15360,399.2270252,36,0.071387241,0.34151752,0,1.94599998,73.18072289,43.56165678,0,100,1.900479096,-0.012511499,-0.01107148,0.005519723,0.031627301,0.028722892,0.145895103,0,0.94599998,-0.000636853,5,87.05136649,73.42168675,63.70481928,1.163713678,5.841267538,-0.471069567,-0.207870662,0.019084738,0.170608851
4,20480,371.7439372,50,0.055965341,0.303042459,0,1.94599998,81.40740741,38.20879753,0,100,1.869715828,1.39E-05,-0.007739684,0.003399192,0.026521797,0.022477366,0.128767322,0,0.94599998,-0.000706657,5,86.96289556,81.57201646,70.79423868,1.350520455,5.833591223,-0.392298448,-0.172154184,0.012618006,0.137211996
5,25600,403.1899861,62,0.080004826,0.354607088,0,1.954999924,83.20209059,36.26039578,0,100,1.840576637,0.016590274,-0.024258515,0.016118388,0.064512426,0.030623693,0.145475112,0,0.954999983,-0.000605211,5,86.98437958,83.34146341,72.3728223,1.415071728,5.834588742,-0.356236468,-0.160641762,0.012712117,0.113322028
6,30720,390.9941372,76,0.106916863,0.415795907,0,1.954999924,83.92261905,35.40581016,0,100,1.803144097,0.030004307,-0.014269152,0.018028094,0.077704855,0.043803571,0.179623854,0,0.954999983,-0.000623328,5,86.80402866,84.04166667,72.84821429,1.498247918,5.826347923,-0.275551066,-0.131136461,0.009168003,0.103356867
7,35840,388.4940146,89,0.113034887,0.427860515,0,1.954999924,85.03412073,34.22208449,0,100,1.750859678,0.034294693,-0.007291631,0.012504472,0.064624329,0.046766404,0.18567731,0,0.954999983,-0.000637424,5,86.65349713,85.13910761,73.68503937,1.57850735,5.827449536,-0.251310924,-0.109205768,0.005294834,0.080272405
8,40960,376.2260284,102,0.120406283,0.442214764,0,1.954999924,86.50865801,32.56520151,0,100,1.685122436,0.047900347,-0.006959793,0.017658211,0.078887932,0.050426407,0.193295497,0,0.954999983,-0.000652571,5,86.51137188,86.5952381,74.83982684,1.729113257,5.822984624,-0.215043353,-0.091454685,0.004477966,0.069555079
9,46080,394.9177983,115,0.123421104,0.446915542,0,1.954999924,87.15810277,31.77195645,0,100,1.695405388,0.040383305,-0.004169181,0.011888121,0.069611867,0.051545454,0.195020944,0,0.954999983,-0.000660413,5,86.45186159,87.23715415,75.34980237,1.776637411,5.818537402,-0.160181635,-0.064499606,0.002333044,0.065025498
10,51200,386.5333332,129,0.126440386,0.452978787,0,1.97300005,87.64972777,31.21889806,0,100,1.613978976,0.022054943,-0.001639288,0.009105359,0.070149114,0.053076225,0.19891979,0,0.97299999,-0.000631702,5,86.37747178,87.72232305,75.70961887,1.842368778,5.815425038,-0.144827962,-0.063753577,0.004176968,0.069750481
11,56320,371.1511908,142,0.124985144,0.445927661,0,1.97300005,88.7971246,29.77120515,0,100,1.58706935,0.050237455,-0.008931759,0.012800629,0.095110045,0.050666134,0.192437813,0,0.97299999,-0.000639124,5,86.28995988,88.86102236,76.62300319,1.99060757,5.818883061,-0.128587474,-0.048700995,0.00167794,0.053152146
12,61440,389.0532443,155,0.140388518,0.473830478,0,1.97300005,88.52366864,30.00100149,0,100,1.627187115,0.041948308,-0.017645941,0.024153366,0.084658648,0.058168639,0.20755867,0,0.97299999,-0.000637767,5,86.30059155,88.58284024,76.3964497,2.045674703,5.819417429,-0.098950685,-0.036734074,0.001098276,0.040789308
13,66560,389.6525367,169,0.136932612,0.468776105,0,1.97300005,89.00277778,29.42046705,0,100,1.655408531,0.03921605,0.007321138,0.006328551,0.046601014,0.056891667,0.205564417,0,0.97299999,-0.000645459,5,86.30192565,89.05833333,76.81111111,2.08177236,5.818152833,-0.089351157,-0.028536347,0.00076027,0.031897486
14,71680,386.9038191,182,0.131127686,0.458965645,0,1.97300005,89.57329843,28.70519261,0,100,1.740867507,0.032130182,0.00735376,0.00318433,0.034505825,0.054311518,0.20073381,0,0.97299999,-0.000652891,5,86.35911973,89.62565445,77.35471204,2.146233316,5.82197578,-0.082501193,-0.023879829,0.000695786,0.036045444
15,76800,373.5629022,196,0.126045767,0.451578634,0,1.97300005,90.20952381,27.91695004,0,100,1.664026362,0.032410935,0.002461625,0.008532505,0.050864238,0.052519048,0.198342914,0,0.97299999,-0.000664629,5,86.3347234,90.25714286,77.88214286,2.159193158,5.822561455,-0.083282366,-0.023017314,0.000594581,0.023896239
16,81920,389.6915958,209,0.134814557,0.462508792,0,1.97300005,90.26042841,27.62428798,0,100,1.599842471,0.045711976,-0.023933232,0.018187233,0.096349099,0.054961669,0.200373537,0,0.97299999,-0.000642708,5,86.33791734,90.30552424,77.92897407,2.212446144,5.823893642,-0.068133861,-0.021087233,0.002273209,0.040486254
17,87040,389.2947935,222,0.130404128,0.455039547,0,1.97300005,90.65123789,27.09336807,0,100,1.617973512,0.023655583,0.002473882,0.002009069,0.025992113,0.05303014,0.196699782,0,0.97299999,-0.000647689,5,86.29579054,90.69429494,78.22820237,2.248968334,5.828176999,-0.06143525,-0.015912092,0.00038557,0.018595653
18,92160,370.1023302,236,0.141468853,0.471594504,0,1.97300005,90.59306931,26.93251102,0,100,1.534546566,0.050760065,-0.036725353,0.026387519,0.110077221,0.057335644,0.202955049,0,0.97299999,-0.000579312,5,86.34302014,90.63267327,78.22079208,2.298748649,5.829415679,-0.052336157,-0.020026522,0.00560261,0.063141519
19,97280,388.0134581,249,0.151792361,0.48873801,0,1.97300005,90.30160226,27.24797094,0,100,1.524928099,0.06667837,-0.013081351,0.019173546,0.090376329,0.062214892,0.211911486,0,0.97299999,-0.00057919,5,86.36885502,90.33930254,77.99245994,2.345768956,5.831617785,-0.05266938,-0.014212027,0.001778127,0.025548611
20,102400,389.3864094,262,0.152717522,0.488989719,0,1.97300005,90.46473779,26.93410224,0,100,1.487898207,0.082623968,0.003278082,0.010263643,0.079377432,0.062218807,0.21097024,0,0.97299999,-0.00058317,5,86.3883503,90.50090416,78.15099458,2.363708455,5.833925438,-0.045220386,-0.00815039,0.000375135,0.020519064
21,107520,377.6370363,276,0.157611558,0.495773842,0,1.97300005,90.44598099,26.87465501,0,100,1.446849883,0.091527065,0.006063569,0.012109555,0.097818466,0.064119274,0.213728674,0,0.97299999,-0.000582177,6,86.38648395,90.48055315,78.13310285,2.431637485,5.8368222,-0.04789316,-0.008303168,0.000264127,0.015928785
22,112640,372.6493603,289,0.158239352,0.497209315,0,1.97300005,90.60194963,26.64458976,0,100,1.46956706,0.081593882,0.004996016,0.010313958,0.074238893,0.0645987,0.214847539,0,0.97299999,-0.000587211,6,86.43874797,90.63444354,78.3151909,2.477661607,5.839232707,-0.045942918,-0.006902037,0.000246119,0.01713854
23,117760,385.9633935,303,0.160736256,0.501498331,0,1.97300005,90.59655981,26.66465399,0,100,1.413663071,0.075008392,0.011281738,0.009799021,0.070576197,0.065866302,0.217527175,0,0.97299999,-0.000372909,6,86.42565568,90.62783425,78.29867084,2.52174933,5.843742633,-0.041446751,-0.005197588,0.000193372,0.013315854
24,122880,386.6093363,316,0.162681498,0.50431809,0,1.97300005,90.62650602,26.57290986,0,100,1.297192663,0.075146553,0.005786933,0.012466314,0.076122258,0.066740964,0.218769255,0,0.97299999,-0.000383928,6,86.44974741,90.65662651,78.34638554,2.544076599,5.852238059,-0.03793495,-0.005004764,0.00225896,0.021209853
25,128000,360.8791166,330,0.166232383,0.509816056,0,1.97300005,90.62046908,26.51297212,0,100,1.265161586,0.062522315,-0.011395856,0.017513414,0.087706646,0.06849538,0.221533567,0,0.97299999,-0.000398935,6,86.4662008,90.64889837,78.35607676,2.576296456,5.85269711,-0.040004281,-0.003704585,0.000182175,0.012848871
26,133120,382.4157928,343,0.165945124,0.509687335,0,1.97300005,90.70681349,26.38978173,0,100,1.148313373,0.050134792,0.00429029,0.009722961,0.075576291,0.068497591,0.221699972,0,0.97299999,-0.000405568,6,86.48755282,90.73434274,78.45010323,2.620793103,5.853745604,-0.040618942,-0.002484321,0.000181068,0.010901638
27,138240,388.1204083,357,0.168301428,0.512574929,0,1.97300005,90.72103862,26.31953241,0,100,1.083801192,0.055040124,-0.007106367,0.011154332,0.06918212,0.069329561,0.222696117,0,0.97299999,-0.000377746,6,86.50110448,90.74766977,78.4747004,2.640465654,5.857631612,-0.035383494,-0.002152789,0.000144967,0.012562772
28,143360,375.3508199,370,0.176818202,0.52406897,0,1.97300005,90.47429306,26.55367523,0,100,1.091026515,0.068267093,-0.024201814,0.017128116,0.092494272,0.072877892,0.227763625,0,0.97299999,-0.000372023,6,86.5277245,90.5,78.28534704,2.669973262,5.85676918,-0.029464787,-0.016472825,0.00644089,0.040515342
29,148480,370.6281293,384,0.178667457,0.525274933,0,1.97300005,90.57985258,26.33495518,0,100,1.108836424,0.078026873,-0.006933989,0.009436169,0.071540024,0.073110565,0.227364915,0,0.97299999,-0.000363569,7,86.54993762,90.6044226,78.3968059,2.718933911,5.859179282,-0.033823139,-0.007180212,0.002053455,0.024379903
30,153600,384.649023,397,0.186432656,0.537223725,0,1.97300005,90.25862069,26.7760175,0,100,1.184805149,0.076557705,0.000437775,0.004176095,0.054342754,0.077089774,0.234286385,0,0.97299999,-0.000227116,7,86.56456872,90.2824019,78.13198573,2.731821883,5.85863564,-0.024487096,-0.006210175,0.003830167,0.040561289
31,158720,381.8194741,411,0.191468567,0.543278578,0,1.97300005,90.15637623,26.88599408,0,100,1.244626474,0.077879358,-0.010756358,0.016779009,0.095005584,0.078956145,0.236954889,0,0.97299999,-0.000212856,7,86.57842691,90.17945759,78.0559723,2.745966293,5.860998797,-0.021825793,-0.003725975,0.006096486,0.044728306
32,163840,378.5482266,424,0.202231896,0.558044872,0,1.97300005,89.74121584,27.4504464,0,100,1.345374918,0.086493615,-0.005313822,0.010590521,0.074892606,0.08396319,0.245074822,0,0.97299999,5.10E-05,7,86.60025108,89.76352482,77.71611824,2.761845736,5.85986259,-0.012419682,-0.001688238,0.004147688,0.034745028
33,168960,374.121639,438,0.202104483,0.558531084,0,1.97300005,89.80128548,27.39333677,0,100,1.364092785,0.067430554,0.007016827,0.008651399,0.077634363,0.084182646,0.245835761,0,0.97299999,3.63E-05,7,86.63298719,89.82271023,77.79753615,2.787410094,5.855245256,-0.024442795,0.002606225,0.001161205,0.034850019
34,174080,384.3386521,451,0.20497086,0.562078823,0,1.97300005,89.74686848,27.47652472,0,100,1.441332769,0.060420079,-0.00160494,0.010616435,0.103642797,0.085336639,0.247703394,0,0.97299999,0.000194774,7,86.6348754,89.7677453,77.75208768,2.800961759,5.861054039,-0.020800041,-0.001068194,0.003615054,0.030478066
35,179200,386.4649753,465,0.202626964,0.559021201,0,1.97300005,89.90316004,27.27718183,0,100,1.507622975,0.049603494,0.004250877,0.007760475,0.062378552,0.084245668,0.246152438,0,0.97299999,0.000172364,7,86.63472986,89.9235474,77.88735984,2.795154753,5.859251213,-0.029961163,-0.002966801,0.003467728,0.040374146
36,184320,372.261624,478,0.199399707,0.554754339,0,1.97300005,91.592,24.68279838,0,100,1.574185997,0.034088949,0.008757976,0.003143859,0.0410162,0.082722,0.244072132,0,0.97299999,0.000143487,7,86.65440213,91.597,79.3685,2.853174472,5.861027622,-0.030853094,-0.000183609,0.000174091,0.011478423
37,189440,388.8373389,492,0.204226118,0.561281192,0,1.97300005,91.863,24.17325446,3,100,1.510397226,0.037307666,-0.006027974,0.01299239,0.071297406,0.085033,0.247570405,0,0.97299999,0.000159297,7,86.64206481,91.863,79.592,2.891041034,5.854111791,-0.022981358,0.005851724,0.000355826,0.020708281
38,194560,383.8368697,505,0.213822858,0.573820414,0,1.97300005,91.4085,24.82157585,3,100,1.427152145,0.069005726,-0.016216955,0.018708063,0.087507558,0.0896235,0.254059466,0,0.97299999,0.000464847,7,86.64785004,91.4085,79.2035,2.923690702,5.855778193,-0.028216428,-0.002658002,0.002907189,0.019020342
39,199680,387.8602358,518,0.218508258,0.578427182,0,1.97300005,91.256,24.93596728,3,100,1.364002872,0.054058832,-0.006849063,0.009576673,0.080198317,0.091296,0.255388528,0,0.97299999,0.000530689,7,86.68471114,91.256,79.105,2.952822523,5.861304331,-0.024545765,-0.013888323,0.014979073,0.048317718
40,204800,371.3790822,532,0.219149793,0.579944603,0,1.97300005,91.188,25.0807228,3,100,1.337153089,0.048902791,-0.003174729,0.005938864,0.062254708,0.091908,0.256742543,0,0.97299999,0.000971317,8,86.70000439,91.188,79.06,3.033086458,5.861746335,-0.028371862,-0.008977167,0.006149822,0.033951139
41,209920,387.9939972,545,0.219393849,0.579410162,0,1.97300005,91.224,24.99207522,3,100,1.305961192,0.046454108,-0.009490842,0.007058225,0.075617016,0.091634,0.255922628,0,0.97299999,0.001050253,8,86.69374287,91.224,79.0855,3.075182643,5.853470302,-0.016676326,-0.019711002,0.027103071,0.08470198
42,215040,384.6420438,558,0.227030615,0.587753229,0,1.97300005,90.927,25.33084426,3,100,1.237484139,0.057769091,-0.012648061,0.016031197,0.143478811,0.094757,0.259430456,0,0.97299999,0.00152848,8,86.75475931,90.927,78.8835,3.111558161,5.846586967,-0.012209712,-0.014783202,0.032235653,0.125935453
43,220160,369.7004539,572,0.23186068,0.59271204,0,1.97300005,90.759,25.53673666,3,100,1.285221601,0.070168112,-0.021094995,0.01338809,0.092357159,0.096569,0.261509902,0,0.97299999,0.002064827,8,86.81783625,90.759,78.795,3.166188483,5.862477899,-0.015123374,0.000121649,0.004766418,0.029129942
44,225280,391.9786356,585,0.235474837,0.596732214,0,1.97300005,90.602,25.70559464,3,100,1.231959224,0.065919073,-0.012318411,0.015886058,0.106761245,0.098182,0.263275131,0,0.97299999,0.002655882,8,86.84521313,90.602,78.6835,3.17252293,5.845554972,0.001650061,-0.014632054,0.030407638,0.080670074
45,230400,389.9786063,599,0.240874686,0.602715722,0,1.97300005,90.369,25.97748716,3,100,1.234657782,0.076784755,-0.003688596,0.010646924,0.078556853,0.100579,0.266052872,0,0.97299999,0.00394439,8,86.88930939,90.369,78.521,3.198811861,5.841667747,-0.007460581,-0.02243233,0.052835698,0.072252324
46,235520,378.0661061,612,0.239593267,0.601703909,0,1.97300005,90.389,25.93148046,3,100,1.295732594,0.052164712,0.008810872,0.01027831,0.085142556,0.100299,0.2656497,0,0.97299999,0.003943995,8,86.93756984,90.389,78.582,3.206369161,5.81633544,0.006027833,-0.059669586,0.294713142,0.138732149
47,240640,370.9840943,626,0.234421362,0.595087367,0,1.973973036,90.659,25.54898665,3,100,1.210306996,0.052070274,-0.008541203,0.009789441,0.072989173,0.097619,0.261877329,0,0.97299999,0.004606089,8,86.96875103,90.659,78.845,3.236826398,5.834576297,-0.01102969,0.001426746,0.009698575,0.058091092
48,245760,389.1958426,639,0.240043052,0.600726003,0,1.973973036,90.4625,25.78337825,3,100,1.323645246,0.059857624,-0.01060028,0.010829931,0.072691969,0.0997375,0.264244957,0,0.97299999,0.006524085,8,86.96752798,90.4625,78.673,3.2598447,5.837540674,-0.018396559,-0.015254454,0.012869891,0.051592413
49,250880,385.2904665,652,0.249806178,0.611284355,0,1.973973036,90.0495,26.27656845,3,100,1.325229198,0.074945834,-0.01630204,0.016409117,0.096795753,0.1040045,0.26923238,0,0.97299999,0.008204045,8,86.9577288,90.0495,78.305,3.268286847,5.801094747,0.00020112,-0.046194243,0.181270401,0.133553007
50,256000,368.4089356,666,0.248900517,0.610262484,0,1.973973036,90.0905,26.22512745,3,100,1.397382492,0.046470287,0.008488041,0.004950563,0.047709963,0.1035855,0.268718327,0,0.97299999,0.00825564,9,86.95866934,90.0905,78.3415,3.299064625,5.829718494,-0.006764659,-0.029549787,0.079230731,0.085826193
