update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,5120,4355.542438,1,0.016802469,0.108149236,0,0.828999996,49.02469136,49.48973589,0,100,1.931824046,-0.074592058,-0.030333777,0.002528234,0.024551975,0.016802469,0.108149236,0,0.828999996
2,10240,4337.983609,2,0.016715447,0.101188991,0,0.828999996,65.98373984,46.77101871,0,100,1.929409736,-0.049246959,-0.021530459,0.000697108,0.01341357,0.016715447,0.101188991,0,0.828999996
3,15360,4347.795621,3,0.022836364,0.127423099,0,0.910000026,73.62424242,43.39995134,0,100,1.936413938,-0.037100921,-0.017030494,0.0016933,0.018683587,0.022836364,0.127423099,0,0.910000026
4,20480,4399.005537,4,0.019672199,0.122534729,0,0.97299999,81.53941909,38.2637644,0,100,1.939282095,-0.021584509,-0.011718988,0.000580176,0.010625665,0.019672199,0.122534729,0,0.97299999
5,25600,4511.510791,5,0.024674825,0.13728971,0,0.97299999,83.66083916,36.26621178,0,100,1.939665949,-0.006517231,-0.010980205,0.00181493,0.015152275,0.024674825,0.13728971,0,0.97299999
6,30720,4575.714857,6,0.029177177,0.146525082,0,0.97299999,85.21321321,34.51473385,0,100,1.939036298,-0.000151747,-0.004980152,0.000784158,0.01242856,0.029177177,0.146525082,0,0.97299999
7,35840,4633.208172,8,0.03031565,0.148972533,0,0.97299999,86.52254642,33.09699828,0,100,1.936724502,0.001467295,-0.00467311,0.00077316,0.012798256,0.03031565,0.148972533,0,0.97299999
8,40960,4687.199663,9,0.035294248,0.162630627,0,0.97299999,87.79424779,31.57558235,0,100,1.937180316,0.005599552,-0.007993122,0.002247438,0.01720939,0.035294248,0.162630627,0,0.97299999
9,46080,4890.49901,10,0.03492,0.161089731,0,0.981999993,88.72,30.47342449,0,100,1.938698065,0.002276301,-0.002120246,0.000710059,0.011581187,0.03492,0.161089731,0,0.981999993
10,51200,5148.992595,11,0.038003656,0.164665247,0,0.981999993,89.15539305,29.66602004,0,100,1.927956569,0.005870736,-0.009338614,0.001853612,0.018701216,0.038003656,0.164665247,0,0.981999993
11,56320,5074.171239,12,0.041283142,0.171565555,0,0.981999993,89.63011457,28.95021987,0,100,1.921888191,0.013129809,-0.003869904,0.001966138,0.015909849,0.041283142,0.171565555,0,0.981999993
12,61440,4954.955473,13,0.051425787,0.190647036,0,0.990999997,89.22188906,29.12541151,0,100,1.924075717,0.027600059,-0.011860217,0.004271738,0.023655351,0.051425787,0.190647036,0,0.990999997
